,date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover,min_price,max_price,var_price,var_price_3d,ma30,ma60,vma30,vma60,mid_price,open_dev_ma5,open_dev_ma10,close_dev_ma5,close_dev_ma10,diff,dea,macd,BOLL_low,BOLL_up,BOLL_relative,dividend_ind,rel_1y,rel_6m,rel_3m,rel_1m,rel_2w,rel_5d,ema5,ema10,ema20,ema30,ema60,ma_range,ema60_pos,v_diff0,v_diff1,v_diff2,v_diff3,v_diff4,v_diff5,RSI,rel_1m_v,rel_2w_v,rel_5d_v,rel_8w_var,rel_4w_var,rel_2w_var
239,2018-04-09 09:35:00,31.57,31.57,31.38,31.57,112.0,-0.19,-0.6,31.604,31.724,31.686,118.22,115.51,103.96,0.01,31.38,31.57,0.15600000000000094,0.18666666666666742,,,,,31.475,-0.2179487179487097,-0.9871794871794807,-1.4358974358974286,-2.2051282051281995,-0.010109764673217114,-0.010109764673217114,0.0,,,,-1.0,,,,,,,31.38,31.38,31.38,31.38,31.38,-169.77384615384494,0.0,,,,,,,68.80733944954117,,,,,,
238,2018-04-09 09:40:00,31.38,31.74,31.7,31.38,112.0,0.32,1.02,31.61,31.706,31.6915,120.42,110.21,106.01,0.01,31.38,31.7,0.120000000000001,0.15666666666666748,,,,,31.54,-1.9166666666666543,-2.7166666666666486,0.7499999999999926,-0.05000000000000148,-0.010109764673217114,-0.010109764673217114,0.0,31.23895166004061,32.14404833995939,0.018782523875263215,-1.0,,,,,,,31.572000000000003,31.556,31.548,31.545333333333332,31.542666666666666,-231.2835555555534,-0.04444444444443918,0.0,,,,,,68.80733944954117,,,,,,
237,2018-04-09 09:45:00,31.7,31.98,31.75,31.53,355.0,0.05,0.16,31.63,31.692,31.6975,182.42,128.31,123.56,0.04,31.7,31.75,0.07000000000000099,0.09000000000000104,,,,,31.725,0.9999999999999899,0.11428571428570009,1.7142857142857042,0.8285714285714144,-0.010109764673217114,-0.010109764673217114,0.0,31.304615748634717,32.090384251365286,0.13362714289910924,-1.0,,,,,,,31.656315789473684,31.633986710963452,31.62217318900916,31.618152536097746,31.614094065364316,-419.97359943001015,-0.11541605206919962,1.0,0.0,,,,,68.80733944954117,,,,,,
236,2018-04-09 09:50:00,31.75,31.87,31.65,31.64,287.0,-0.1,-0.31,31.63,31.67,31.6995,205.22,148.71,135.91,0.03,31.65,31.75,0.08600000000000137,0.07666666666666799,,,,,31.7,1.3953488372092917,0.9302325581395002,0.23255813953487506,-0.23255813953491639,-0.010109764673217114,-0.010109764673217114,0.0,31.385604696821645,32.013395303178356,-0.15769589254375016,-1.0,,,,,,,31.653692307692307,31.639262376237618,31.630206359102242,31.626927672955976,31.623524275664163,-336.0617062465363,-0.07769864462882654,-1.0,1.0,0.0,,,,68.80733944954117,,,,,,
235,2018-04-09 09:55:00,31.65,31.84,31.77,31.65,110.0,0.12,0.38,31.65,31.661,31.7065,195.2,151.41,140.81,0.01,31.65,31.77,0.06800000000000139,0.06666666666666761,,,,,31.71,0.0,-0.16176470588239059,1.7647058823529196,1.602941176470529,-0.010109764673217114,-0.010109764673217114,0.0,31.409693456029157,32.00330654397084,0.21394406993344528,-1.0,,,,,,1.0,31.698341232227488,31.6767935922825,31.66402125121735,31.65948009128355,31.654804421851985,-433.8134885008804,-0.13554160831417775,-1.0,-1.0,1.0,0.0,,,68.80733944954117,,,0.0,,,
234,2018-04-09 10:00:00,31.77,31.84,31.78,31.77,117.0,0.01,0.03,31.73,31.667,31.7135,196.2,157.21,144.76,0.01,31.77,31.78,0.046000000000001505,0.07000000000000146,,,,,31.775,0.8695652173912574,2.2391304347824916,1.0869565217391104,2.4565217391303444,-0.010109764673217114,-0.010109764673217114,0.0,31.43494181365546,31.99205818634454,0.23872929700134363,-1.0,,,,,,1.0,31.72818045112782,31.70359986130374,31.688487469602464,31.683057912939567,31.677447146792453,-656.9119749139029,-0.2400070176089292,1.0,-1.0,-1.0,1.0,0.0,,68.80733944954117,,,0.02857142857142857,,,
233,2018-04-09 10:05:00,31.8,31.87,31.87,31.71,380.0,0.07,0.22,31.764,31.687,31.7255,249.8,185.11,149.06,0.04,31.8,31.87,0.04400000000000119,0.07000000000000146,,,,,31.835,0.818181818181827,2.5681818181817384,2.409090909090881,4.159090909090793,-0.010109764673217114,-0.010109764673217114,0.0,31.43402637657783,32.016973623422174,0.49575669421965174,-1.0,,,,,,1.0,31.778392423506563,31.743695610275214,31.722806996336917,31.715390764777137,31.707780509443715,-688.8529827911038,-0.3415110657545808,1.0,1.0,-1.0,-1.0,1.0,0.0,68.80733944954117,,,1.0,,,
232,2018-04-09 10:10:00,31.87,31.87,31.74,31.73,32.0,-0.13,-0.41,31.762,31.696,31.731,185.2,183.81,149.01,0.0,31.74,31.87,0.04400000000000048,0.0500000000000019,,,,,31.805,2.45454545454544,3.9545454545453995,-0.5000000000000404,0.9999999999999193,-0.010109764673217114,-0.010109764673217114,0.0,31.468153500911384,31.99384649908862,0.034240516922245515,-1.0,,,,,,0.40909090909090395,31.765075337034105,31.74285484112745,31.725778893411317,31.719230689422247,31.712293193191833,-688.9688608718633,-0.3064931868064393,-1.0,1.0,1.0,-1.0,-1.0,1.0,68.80733944954117,,,0.0,,,
231,2018-04-09 10:15:00,31.74,31.84,31.75,31.74,25.0,0.01,0.03,31.782,31.706,31.7365,132.8,169.01,148.61,0.0,31.74,31.75,0.03399999999999963,0.006666666666667709,,,,,31.744999999999997,-1.235294117647119,0.9999999999999791,-0.9411764705882464,1.294117647058852,-0.010109764673217114,-0.010109764673217114,0.0,31.49669901017705,31.97630098982295,0.05629668171915329,-1.0,,,,,,0.07692307692308743,31.759916018987013,31.744409377658517,31.72966407734358,31.723629251600553,31.717062782265973,-901.0948716947282,-0.3706263258119188,-1.0,-1.0,1.0,1.0,-1.0,-1.0,68.80733944954117,,,0.0,,,
230,2018-04-09 10:20:00,31.75,31.84,31.76,31.75,84.0,0.01,0.03,31.78,31.715,31.7405,127.6,161.4,149.31,0.01,31.75,31.76,0.03199999999999932,0.0266666666666661,,,,,31.755000000000003,-0.9375000000000554,1.0937500000000278,-0.625,1.406250000000083,-0.010109764673217114,-0.010109764673217114,0.0,31.519573654777084,31.961426345222918,0.08826471093940837,-1.0,,,,,0.7755102040816347,0.15384615384617487,31.75994450667816,31.747684283997387,31.734232404439894,31.728450400228883,31.722028649204923,-959.5534507809967,-0.3813673510928509,1.0,-1.0,-1.0,1.0,1.0,-1.0,68.80733944954117,,0.16619718309859155,0.16619718309859155,,,0.11111111111110235
